Name,Tx,Ty,Tz,R11,R12,R13,R21,R22,R23,R31,R32,R33
img_82,-0.016276,0.02832,0.335369,0.605225,-0.646819,-0.464035,-0.59465,0.020194,-0.803731,0.529239,0.762377,-0.372408
img_83,0.000065,0.032664,0.335369,0.226816,-0.550064,-0.803731,-0.817594,0.340898,-0.464035,0.529239,0.762377,-0.372408
img_84,-0.000428,-0.034292,0.335206,0.244416,0.337614,0.908998,0.810014,-0.586411,0,0.533047,0.736301,-0.4168
img_85,-0.017517,-0.029483,0.335206,0.616677,-0.000824,0.787216,0.579284,-0.676654,-0.454499,0.533047,0.736301,-0.4168
img_86,-0.029912,-0.016775,0.335206,0.8237,-0.33904,0.454499,0.193336,-0.585588,-0.787216,0.533047,0.736301,-0.4168
img_87,-0.034292,0.000428,0.335206,0.810014,-0.586411,0,-0.244416,-0.337614,-0.908998,0.533047,0.736301,-0.4168
img_88,-0.029483,0.017517,0.335206,0.579284,-0.676654,-0.454499,-0.616677,0.000824,-0.787216,0.533047,0.736301,-0.4168
img_89,-0.016775,0.029912,0.335206,0.193336,-0.585588,-0.787216,-0.8237,0.33904,-0.454499,0.533047,0.736301,-0.4168
img_90,-0.02211,-0.006586,0.336165,0.18144,0.305466,0.934757,0.859769,-0.510684,0,0.477365,0.803675,-0.355289
img_91,-0.022441,0.005351,0.336165,0.587016,0.0092,0.809523,0.653862,-0.594998,-0.467378,0.477365,0.803675,-0.355289
img_92,-0.016759,0.015855,0.336165,0.835302,-0.289532,0.467378,0.272753,-0.519883,-0.809523,0.477365,0.803675,-0.355289
img_93,-0.006586,0.02211,0.336165,0.859769,-0.510684,0,-0.18144,-0.305466,-0.934757,0.477365,0.803675,-0.355289
img_94,0.005351,0.022441,0.336165,0.653862,-0.594998,-0.467378,-0.587016,-0.0092,-0.809523,0.477365,0.803675,-0.355289
img_95,0.015855,0.016759,0.336165,0.272753,-0.519883,-0.809523,-0.835302,0.289532,-0.467378,0.477365,0.803675,-0.355289
img_96,-0.009225,-0.026217,0.335807,0.221351,0.32345,0.919991,0.825256,-0.564758,0,0.519573,0.759229,-0.391939
img_97,-0.021098,-0.018092,0.335807,0.604324,-0.002263,0.796736,0.604018,-0.65082,-0.459996,0.519573,0.759229,-0.391939
img_98,-0.027317,-0.005119,0.335807,0.825368,-0.32737,0.459996,0.220933,-0.562495,-0.796736,0.519573,0.759229,-0.391939
img_99,-0.026217,0.009225,0.335807,0.825256,-0.564758,0,-0.221351,-0.32345,-0.919991,0.519573,0.759229,-0.391939
img_100,-0.018092,0.021098,0.335807,0.604018,-0.65082,-0.459996,-0.604324,0.002263,-0.796736,0.519573,0.759229,-0.391939
img_101,-0.005119,0.027317,0.335807,0.220933,-0.562495,-0.796736,-0.825368,0.32737,-0.459996,0.519573,0.759229,-0.391939
img_102,-0.020217,-0.030659,0.334948,0.208781,0.29575,0.932171,0.816946,-0.576714,0,0.537596,0.761533,-0.362019
img_103,-0.032838,-0.016443,0.334948,0.589283,-0.03223,0.807284,0.603106,-0.647324,-0.466085,0.537596,0.761533,-0.362019
img_104,-0.03666,0.002179,0.334948,0.811887,-0.351574,0.466085,0.227663,-0.544484,-0.807284,0.537596,0.761533,-0.362019
img_105,-0.030659,0.020217,0.334948,0.816946,-0.576714,0,-0.208781,-0.29575,-0.932171,0.537596,0.761533,-0.362019
img_106,-0.016443,0.032838,0.334948,0.603106,-0.647324,-0.466085,-0.589283,0.03223,-0.807284,0.537596,0.761533,-0.362019
img_107,0.002179,0.03666,0.334948,0.227663,-0.544484,-0.807284,-0.811887,0.351574,-0.466085,0.537596,0.761533,-0.362019
img_108,-0.015054,-0.009758,0.336478,0.194784,0.320332,0.927063,0.854436,-0.519557,0,0.481662,0.792116,-0.374904
img_109,-0.017916,-0.000923,0.336478,0.595906,0.017637,0.802861,0.642571,-0.610116,-0.463532,0.481662,0.792116,-0.374904
img_110,-0.015978,0.008158,0.336478,0.837355,-0.289784,0.463532,0.25853,-0.537194,-0.802861,0.481662,0.792116,-0.374904
img_111,-0.009758,0.015054,0.336478,0.854436,-0.519557,0,-0.194784,-0.320332,-0.927063,0.481662,0.792116,-0.374904
img_112,-0.000923,0.017916,0.336478,0.642571,-0.610116,-0.463532,-0.595906,-0.017637,-0.802861,0.481662,0.792116,-0.374904
img_113,0.008158,0.015978,0.336478,0.25853,-0.537194,-0.802861,-0.837355,0.289784,-0.463532,0.481662,0.792116,-0.374904
img_114,-0.016356,-0.003267,0.336543,-0.914928,0.359349,-0.183777,0,0.455327,0.890324,0.403616,0.814583,-0.416592
img_115,-0.015798,0.005349,0.336543,-0.792351,0.538869,0.286006,0.457464,0.21465,0.862932,0.403616,0.814583,-0.416592
img_116,-0.011007,0.012532,0.336543,-0.457464,0.573999,0.679155,0.792351,-0.083542,0.604318,0.403616,0.814583,-0.416592
img_117,-0.003267,0.016356,0.336543,0,0.455327,0.890324,0.914928,-0.359349,0.183777,0.403616,0.814583,-0.416592
img_118,0.005349,0.015798,0.336543,0.457464,0.21465,0.862932,0.792351,-0.538869,-0.286006,0.403616,0.814583,-0.416592
img_119,0.012532,0.011007,0.336543,0.792351,-0.083542,0.604318,0.457464,-0.573999,-0.679155,0.403616,0.814583,-0.416592
img_120,-0.019137,0.006621,0.336347,0.172013,0.320269,0.931579,0.880976,-0.473162,0,0.440788,0.820698,-0.363539
img_121,-0.013263,0.015303,0.336347,0.589455,0.04078,0.806771,0.676941,-0.569905,-0.465789,0.440788,0.820698,-0.363539
img_122,-0.003834,0.019884,0.336347,0.848954,-0.249636,0.465789,0.29152,-0.513942,-0.806771,0.440788,0.820698,-0.363539
img_123,0.006621,0.019137,0.336347,0.880976,-0.473162,0,-0.172013,-0.320269,-0.931579,0.440788,0.820698,-0.363539
img_124,0.015303,0.013263,0.336347,0.676941,-0.569905,-0.465789,-0.589455,-0.04078,-0.806771,0.440788,0.820698,-0.363539
img_125,0.019884,0.003834,0.336347,0.29152,-0.513942,-0.806771,-0.848954,0.249636,-0.465789,0.440788,0.820698,-0.363539
img_126,-0.017264,-0.040179,0.334106,0.223551,0.296537,0.928488,0.798513,-0.601978,0,0.55893,0.74141,-0.371361
img_127,-0.03504,-0.026164,0.334106,0.592857,-0.044181,0.804095,0.579756,-0.669597,-0.464244,0.55893,0.74141,-0.371361
img_128,-0.043428,-0.005139,0.334106,0.803308,-0.37306,0.464244,0.205655,-0.557797,-0.804095,0.55893,0.74141,-0.371361
img_129,-0.040179,0.017264,0.334106,0.798513,-0.601978,0,-0.223551,-0.296537,-0.928488,0.55893,0.74141,-0.371361
img_130,-0.026164,0.03504,0.334106,0.579756,-0.669597,-0.464244,-0.592857,0.044181,-0.804095,0.55893,0.74141,-0.371361
img_131,-0.005139,0.043428,0.334106,0.205655,-0.557797,-0.804095,-0.803308,0.37306,-0.464244,0.55893,0.74141,-0.371361
img_132,-0.004931,0.014011,0.336628,-0.900537,0.375109,-0.21983,0,0.505614,0.86276,0.434779,0.776947,-0.455325
img_133,0.002735,0.014599,0.336628,-0.779888,0.577661,0.241001,0.450269,0.25032,0.857087,0.434779,0.776947,-0.455325
img_134,0.009668,0.011275,0.336628,-0.450269,0.62543,0.637257,0.779888,-0.072047,0.621758,0.434779,0.776947,-0.455325
img_135,0.014011,0.004931,0.336628,0,0.505614,0.86276,0.900537,-0.375109,0.21983,0.434779,0.776947,-0.455325
img_136,0.014599,-0.002735,0.336628,0.450269,0.25032,0.857087,0.779888,-0.577661,-0.241001,0.434779,0.776947,-0.455325
img_137,0.011275,-0.009668,0.336628,0.779888,-0.072047,0.621758,0.450269,-0.62543,-0.637257,0.434779,0.776947,-0.455325
img_138,-0.003872,-0.016883,0.33651,0.218862,0.341752,0.91395,0.842113,-0.539301,0,0.492894,0.76965,-0.405826
img_139,-0.011795,-0.012685,0.33651,0.610597,0.026316,0.791504,0.61986,-0.637924,-0.456975,0.492894,0.76965,-0.405826
img_140,-0.016557,-0.005089,0.33651,0.838723,-0.296172,0.456975,0.231516,-0.565616,-0.791504,0.492894,0.76965,-0.405826
img_141,-0.016883,0.003872,0.33651,0.842113,-0.539301,0,-0.218862,-0.341752,-0.91395,0.492894,0.76965,-0.405826
img_142,-0.012685,0.011795,0.33651,0.61986,-0.637924,-0.456975,-0.610597,-0.026316,-0.791504,0.492894,0.76965,-0.405826
img_143,-0.005089,0.016557,0.33651,0.231516,-0.565616,-0.791504,-0.838723,0.296172,-0.456975,0.492894,0.76965,-0.405826
img_144,-0.009244,-0.018949,0.336295,0.213254,0.328096,0.920258,0.838453,-0.544974,0,0.501516,0.771593,-0.391312
img_145,-0.01748,-0.011788,0.336295,0.60391,0.011653,0.796967,0.619495,-0.636009,-0.460129,0.501516,0.771593,-0.391312
img_146,-0.021032,-0.001469,0.336295,0.832749,-0.307913,0.460129,0.234543,-0.556627,-0.796967,0.501516,0.771593,-0.391312
img_147,-0.018949,0.009244,0.336295,0.838453,-0.544974,0,-0.213254,-0.328096,-0.920258,0.501516,0.771593,-0.391312
img_148,-0.011788,0.01748,0.336295,0.619495,-0.636009,-0.460129,-0.60391,-0.011653,-0.796967,0.501516,0.771593,-0.391312
img_149,-0.001469,0.021032,0.336295,0.234543,-0.556627,-0.796967,-0.832749,0.307913,-0.460129,0.501516,0.771593,-0.391312
img_150,-0.007901,0.013237,0.336603,0.179186,0.351638,0.918827,0.890989,-0.454025,0,0.41717,0.818665,-0.39466
img_151,-0.000224,0.015414,0.336603,0.600674,0.077515,0.795728,0.682026,-0.569016,-0.459414,0.41717,0.818665,-0.39466
img_152,0.007513,0.013461,0.336603,0.861212,-0.217378,0.459414,0.290315,-0.53154,-0.795728,0.41717,0.818665,-0.39466
img_153,0.013237,0.007901,0.336603,0.890989,-0.454025,0,-0.179186,-0.351638,-0.918827,0.41717,0.818665,-0.39466
img_154,0.015414,0.000224,0.336603,0.682026,-0.569016,-0.459414,-0.600674,-0.077515,-0.795728,0.41717,0.818665,-0.39466
img_155,0.013461,-0.007513,0.336603,0.290315,-0.53154,-0.795728,-0.861212,0.217378,-0.459414,0.41717,0.818665,-0.39466
img_156,-0.023791,-0.003339,0.336098,-0.923626,0.341299,-0.174443,0,0.455114,0.890433,0.383295,0.822427,-0.420355
img_157,-0.022273,0.009004,0.336098,-0.799883,0.523131,0.294144,0.461813,0.223491,0.858359,0.383295,0.822427,-0.420355
img_158,-0.014787,0.018934,0.336098,-0.461813,0.56479,0.683916,0.799883,-0.068016,0.596289,0.383295,0.822427,-0.420355
img_159,-0.003339,0.023791,0.336098,0,0.455114,0.890433,0.923626,-0.341299,0.174443,0.383295,0.822427,-0.420355
img_160,0.009004,0.022273,0.336098,0.461813,0.223491,0.858359,0.799883,-0.523131,-0.294144,0.383295,0.822427,-0.420355
img_161,0.018934,0.014787,0.336098,0.799883,-0.068016,0.596289,0.461813,-0.56479,-0.683916,0.383295,0.822427,-0.420355
img_162,-0.025912,-0.019718,0.335379,0.188871,0.288988,0.938517,0.83708,-0.547081,0,0.513444,0.785614,-0.345234
img_163,-0.0323,-0.00412,0.335379,0.582107,-0.023269,0.812779,0.630497,-0.61828,-0.469258,0.513444,0.785614,-0.345234
img_164,-0.030032,0.012582,0.335379,0.819368,-0.329292,0.469258,0.254973,-0.523811,-0.812779,0.513444,0.785614,-0.345234
img_165,-0.019718,0.025912,0.335379,0.83708,-0.547081,0,-0.188871,-0.288988,-0.938517,0.513444,0.785614,-0.345234
img_166,-0.00412,0.0323,0.335379,0.630497,-0.61828,-0.469258,-0.582107,0.023269,-0.812779,0.513444,0.785614,-0.345234
img_167,0.012582,0.030032,0.335379,0.254973,-0.523811,-0.812779,-0.819368,0.329292,-0.469258,0.513444,0.785614,-0.345234
img_168,-0.001995,0.006548,0.336886,0.194309,0.361573,0.911871,0.880862,-0.473373,0,0.431655,0.803233,-0.410477
img_169,0.001546,0.006668,0.336886,0.608707,0.076445,0.789704,0.665695,-0.59074,-0.455936,0.431655,0.803233,-0.410477
img_170,0.004673,0.005002,0.336886,0.860003,-0.229166,0.455936,0.272155,-0.549818,-0.789704,0.431655,0.803233,-0.410477
img_171,0.006548,0.001995,0.336886,0.880862,-0.473373,0,-0.194309,-0.361573,-0.911871,0.431655,0.803233,-0.410477
img_172,0.006668,-0.001546,0.336886,0.665695,-0.59074,-0.455936,-0.608707,-0.076445,-0.789704,0.431655,0.803233,-0.410477
img_173,0.005002,-0.004673,0.336886,0.272155,-0.549818,-0.789704,-0.860003,0.229166,-0.455936,0.431655,0.803233,-0.410477
img_174,-0.015036,0.022164,0.33589,0.160706,0.339511,0.926772,0.903856,-0.427837,0,0.396507,0.837668,-0.375625
img_175,-0.00194,0.026712,0.33589,0.591103,0.080106,0.802608,0.702409,-0.540273,-0.463386,0.396507,0.837668,-0.375625
img_176,0.011676,0.024103,0.33589,0.863115,-0.200762,0.463386,0.312753,-0.507943,-0.802608,0.396507,0.837668,-0.375625
img_177,0.022164,0.015036,0.33589,0.903856,-0.427837,0,-0.160706,-0.339511,-0.926772,0.396507,0.837668,-0.375625
img_178,0.026712,0.00194,0.33589,0.702409,-0.540273,-0.463386,-0.591103,-0.080106,-0.802608,0.396507,0.837668,-0.375625
img_179,0.024103,-0.011676,0.33589,0.312753,-0.507943,-0.802608,-0.863115,0.200762,-0.463386,0.396507,0.837668,-0.375625
img_180,0.005053,-0.02514,0.335978,0.241916,0.35619,0.902555,0.827243,-0.561844,0,0.507095,0.746632,-0.430575
img_181,-0.008194,-0.024298,0.335978,0.623127,0.027547,0.781635,0.595455,-0.664667,-0.451277,0.507095,0.746632,-0.430575
img_182,-0.019245,-0.016946,0.335978,0.837371,-0.308477,0.451277,0.204116,-0.589392,-0.781635,0.507095,0.746632,-0.430575
img_183,-0.02514,-0.005053,0.335978,0.827243,-0.561844,0,-0.241916,-0.35619,-0.902555,0.507095,0.746632,-0.430575
img_184,-0.024298,0.008194,0.335978,0.595455,-0.664667,-0.451277,-0.623127,-0.027547,-0.781635,0.507095,0.746632,-0.430575
img_185,-0.016946,0.019245,0.335978,0.204116,-0.589392,-0.781635,-0.837371,0.308477,-0.451277,0.507095,0.746632,-0.430575
img_186,-0.003842,0.001151,0.336932,0.198163,0.353663,0.914141,0.872389,-0.488813,0,0.446844,0.797486,-0.405396
img_187,-0.002752,0.002918,0.336932,0.607808,0.061874,0.79167,0.656429,-0.600156,-0.457071,0.446844,0.797486,-0.405396
img_188,-0.000924,0.003903,0.336932,0.854592,-0.246493,0.457071,0.26458,-0.550687,-0.79167,0.446844,0.797486,-0.405396
img_189,0.001151,0.003842,0.336932,0.872389,-0.488813,0,-0.198163,-0.353663,-0.914141,0.446844,0.797486,-0.405396
img_190,0.002918,0.002752,0.336932,0.656429,-0.600156,-0.457071,-0.607808,-0.061874,-0.79167,0.446844,0.797486,-0.405396
img_191,0.003903,0.000924,0.336932,0.26458,-0.550687,-0.79167,-0.854592,0.246493,-0.457071,0.446844,0.797486,-0.405396
img_192,-0.004825,-0.007232,0.336843,0.206442,0.345897,0.91528,0.858691,-0.512494,0,0.469075,0.785943,-0.402818
img_193,-0.007795,-0.00385,0.336843,0.608129,0.043308,0.792656,0.640427,-0.616781,-0.45764,0.469075,0.785943,-0.402818
img_194,-0.008676,0.000563,0.336843,0.846869,-0.270884,0.45764,0.250562,-0.555802,-0.792656,0.469075,0.785943,-0.402818
img_195,-0.007232,0.004825,0.336843,0.858691,-0.512494,0,-0.206442,-0.345897,-0.91528,0.469075,0.785943,-0.402818
img_196,-0.00385,0.007795,0.336843,0.640427,-0.616781,-0.45764,-0.608129,-0.043308,-0.792656,0.469075,0.785943,-0.402818
img_197,0.000563,0.008676,0.336843,0.250562,-0.555802,-0.792656,-0.846869,0.270884,-0.45764,0.469075,0.785943,-0.402818
img_198,-0.016388,-0.028256,0.335369,0.212369,0.30592,0.928069,0.821465,-0.570258,0,0.529239,0.762377,-0.372408
img_199,-0.02832,-0.016276,0.335369,0.59465,-0.020194,0.803731,0.605225,-0.646819,-0.464035,0.529239,0.762377,-0.372408
img_200,-0.032664,0.000065,0.335369,0.817594,-0.340898,0.464035,0.226816,-0.550064,-0.803731,0.529239,0.762377,-0.372408
img_201,-0.028256,0.016388,0.335369,0.821465,-0.570258,0,-0.212369,-0.30592,-0.928069,0.529239,0.762377,-0.372408
img_202,-0.016276,0.02832,0.335369,0.605225,-0.646819,-0.464035,-0.59465,0.020194,-0.803731,0.529239,0.762377,-0.372408
img_203,0.000065,0.032664,0.335369,0.226816,-0.550064,-0.803731,-0.817594,0.340898,-0.464035,0.529239,0.762377,-0.372408
